#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Aug 2007 to Oct 2025
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
"#       SNOTEL 551: Joe Wright, CO"
# 
# Data items provided in this file:
#
# Element Name                Value Type          Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value               None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1991-2020)  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Precipitation Accumulation  Value               None           Instantaneous - Start of Month  N/A        Inches             N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Median (1991-2020)  None           Instantaneous - Start of Month  N/A        Inches             N/A           PREC          Water year accumulated precipitation                                                               
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
"#  E      Edit                Edit, minor adjustment for sensor noise"
#  K      Estimate            Estimate
#  C      Correction          A different equation has been applied to the original sensor voltage
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#  M      Missing             Value is missing
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Joe Wright (551) Colorado  SNOTEL Site - 10140 ft
# Reporting Frequency: Monthly; Date Range: Aug 2007 to Oct 2025
#
"# As of: Oct 6, 2025, 11:49:23 AM GMT-08:00"
#
"Date,Snow Water Equivalent (in) Start of Month Values,Median Snow Water Equivalent (1991-2020) (in) Start of Month Values,Precipitation Accumulation (in) Start of Month Values,Median Precipitation Accumulation (1991-2020) (in) Start of Month Values"
"Apr 2012,10.6,19.6,18.5,25.20"
"May 2012,8.0,22.5,21.4,30.20"
"Jun 2012,0.0,13.3,24.3,34.60"
"Jul 2012,0.0,0.0,24.4,36.40"
"Aug 2012,0.0,0.0,28.7,38.00"
"Sep 2012,0.0,0.0,30.4,41.00"
"Oct 2012,0.0,0.0,0.0,0.00"
"Nov 2012,1.2,1.9,4.7,4.00"
"Dec 2012,3.4,5.6,6.4,7.60"
"Jan 2013,5.6,8.5,11.0,11.40"
"Feb 2013,7.0,11.7,13.5,15.20"
"Mar 2013,10.5,16.3,17.5,20.40"
"Apr 2013,14.9,19.6,22.4,25.20"
"May 2013,22.0,22.5,30.9,30.20"
"Jun 2013,12.9,13.3,34.0,34.60"
"Jul 2013,0.0,0.0,34.0,36.40"
"Aug 2013,0.0,0.0,36.3,38.00"
"Sep 2013,0.0,0.0,38.3,41.00"
"Oct 2013,0.0,0.0,0.0,0.00"
"Nov 2013,2.3,1.9,5.9,4.00"
"Dec 2013,4.5,5.6,8.6,7.60"
"Jan 2014,7.2,8.5,11.7,11.40"
"Feb 2014,11.5,11.7,18.8,15.20"
"Mar 2014,18.6,16.3,25.7,20.40"
"Apr 2014,22.8,19.6,31.1,25.20"
"May 2014,28.9,22.5,37.3,30.20"
"Jun 2014,25.0,13.3,43.5,34.60"
"Jul 2014,0.0,0.0,43.9,36.40"
"Aug 2014,0.0,0.0,47.2,38.00"
"Sep 2014,0.0,0.0,51.9,41.00"
"Oct 2014,0.3,0.0,0.0,0.00"
"Nov 2014,0.5,1.9,3.0,4.00"
"Dec 2014,5.0,5.6,9.7,7.60"
"Jan 2015,8.9,8.5,14.4,11.40"
"Feb 2015,10.0,11.7,16.0,15.20"
"Mar 2015,13.7,16.3,21.0,20.40"
"Apr 2015,16.3,19.6,24.3,25.20"
"May 2015,18.8,22.5,28.0,30.20"
"Jun 2015,14.8,13.3,34.1,34.60"
"Jul 2015,0.0,0.0,36.1,36.40"
"Aug 2015,0.0,0.0,39.5,38.00"
"Sep 2015,0.0,0.0,40.2,41.00"
"Oct 2015,0.0,0.0,0.0,0.00"
"Nov 2015,1.5,1.9,3.4,4.00"
"Dec 2015,3.0,5.6,7.1,7.60"
"Jan 2016,6.1,8.5,11.2,11.40"
"Feb 2016,10.2,11.7,15.6,15.20"
"Mar 2016,11.4,16.3,18.0,20.40"
"Apr 2016,17.8,19.6,25.2,25.20"
"May 2016,21.7,22.5,31.2,30.20"
"Jun 2016,14.7,13.3,35.2,34.60"
"Jul 2016,0.0,0.0,36.3,36.40"
"Aug 2016,0.0,0.0,37.2,38.00"
"Sep 2016,0.0,0.0,39.1,41.00"
"Oct 2016,0.0,0.0,0.0,0.00"
"Nov 2016,0.0,1.9,3.1,4.00"
"Dec 2016,2.3,5.6,6.5,7.60"
"Jan 2017,7.6,8.5,13.1,11.40"
"Feb 2017,15.0,11.7,20.6,15.20"
"Mar 2017,17.5,16.3,25.0,20.40"
"Apr 2017,17.5,19.6,27.1,25.20"
"May 2017,19.2,22.5,32.9,30.20"
"Jun 2017,13.7,13.3,38.1,34.60"
"Jul 2017,0.0,0.0,38.3,36.40"
"Aug 2017,0.0,0.0,40.5,38.00"
"Sep 2017,0.0,0.0,43.0,41.00"
"Oct 2017,0.2,0.0,0.0,0.00"
"Nov 2017,0.5,1.9,4.6,4.00"
"Dec 2017,4.1,5.6,9.4,7.60"
"Jan 2018,6.7,8.5,13.4,11.40"
"Feb 2018,9.9,11.7,17.4,15.20"
"Mar 2018,13.3,16.3,22.1,20.40"
"Apr 2018,18.8,19.6,28.1,25.20"
"May 2018,21.1,22.5,33.9,30.20"
"Jun 2018,5.0,13.3,35.9,34.60"
"Jul 2018,0.0,0.0,37.7,36.40"
"Aug 2018,0.0,0.0,39.2,38.00"
"Sep 2018,0.0,0.0,41.3,41.00"
"Oct 2018,0.0,0.0,0.0,0.00"
"Nov 2018,1.3,1.9,5.0,4.00"
"Dec 2018,6.2,5.6,11.5,7.60"
"Jan 2019,9.1,8.5,15.2,11.40"
"Feb 2019,13.0,11.7,19.7,15.20"
"Mar 2019,15.0,16.3,22.6,20.40"
"Apr 2019,21.6,19.6,29.4,25.20"
"May 2019,22.2,22.5,33.9,30.20"
"Jun 2019,22.3,13.3,38.2,34.60"
"Jul 2019,0.0,0.0,43.6,36.40"
"Aug 2019,0.0,0.0,46.0,38.00"
"Sep 2019,0.0,0.0,47.2,41.00"
"Oct 2019,0.0,0.0,0.0,0.00"
"Nov 2019,2.7,1.9,4.5,4.00"
"Dec 2019,4.0,5.6,6.8,7.60"
"Jan 2020,7.8,8.5,11.4,11.40"
"Feb 2020,10.3,11.7,15.0,15.20"
"Mar 2020,18.1,16.3,22.6,20.40"
"Apr 2020,22.2,19.6,26.4,25.20"
"May 2020,24.3,22.5,30.9,30.20"
"Jun 2020,7.5,13.3,34.1,34.60"
"Jul 2020,0.0,0.0,36.5,36.40"
"Aug 2020,0.0,0.0,37.6,38.00"
"Sep 2020,0.0,0.0,38.6,41.00"
"Oct 2020,0.0,0.0,0.0,0.00"
"Nov 2020,1.8,1.9,2.4,4.00"
"Dec 2020,4.5,5.6,5.6,7.60"
"Jan 2021,7.4,8.5,8.7,11.40"
"Feb 2021,9.8,11.7,11.9,15.20"
"Mar 2021,14.6,16.3,17.6,20.40"
"Apr 2021,19.5,19.6,22.5,25.20"
"May 2021,22.6,22.5,26.9,30.20"
"Jun 2021,11.7,13.3,30.1,34.60"
"Jul 2021,0.0,0.0,30.9,36.40"
"Aug 2021,0.0,0.0,32.6,38.00"
"Sep 2021,0.0,0.0,35.4,41.00"
"Oct 2021,0.0,0.0,0.0,0.00"
"Nov 2021,1.8,1.9,4.6,4.00"
"Dec 2021,4.3,5.6,8.7,7.60"
"Jan 2022,10.1,8.5,16.2,11.40"
"Feb 2022,14.7,11.7,21.1,15.20"
"Mar 2022,16.8,16.3,22.9,20.40"
"Apr 2022,18.9,19.6,26.2,25.20"
"May 2022,23.2,22.5,32.8,30.20"
"Jun 2022,17.9,13.3,39.2,34.60"
"Jul 2022,0.0,0.0,40.9,36.40"
"Aug 2022,0.0,0.0,43.0,38.00"
"Sep 2022,0.0,0.0,45.5,41.00"
"Oct 2022,0.0,0.0,0.0,0.00"
"Nov 2022,1.0,1.9,2.0,4.00"
"Dec 2022,4.2,5.6,6.0,7.60"
"Jan 2023,11.0,8.5,13.6,11.40"
"Feb 2023,16.3,11.7,18.6,15.20"
"Mar 2023,19.0,16.3,21.0,20.40"
"Apr 2023,24.7,19.6,26.5,25.20"
"May 2023,28.2,22.5,31.0,30.20"
"Jun 2023,12.9,13.3,33.3,34.60"
"Jul 2023,0.0,0.0,36.4,36.40"
"Aug 2023,0.0,0.0,38.4,38.00"
"Sep 2023,0.0,0.0,41.3,41.00"
"Oct 2023,0.0,0.0,0.0,0.00"
"Nov 2023,1.0,1.9,3.0,4.00"
"Dec 2023,3.1,5.6,4.9,7.60"
"Jan 2024,5.4,8.5,8.0,11.40"
"Feb 2024,8.7,11.7,12.7,15.20"
"Mar 2024,13.4,16.3,17.5,20.40"
"Apr 2024,18.6,19.6,22.7,25.20"
"May 2024,22.7,22.5,29.7,30.20"
"Jun 2024,14.1,13.3,33.0,34.60"
"Jul 2024,0.0,0.0,34.4,36.40"
"Aug 2024,0.0,0.0,35.9,38.00"
"Sep 2024,0.0,0.0,39.4,41.00"
"Oct 2024,0.0,0.0,0.0,0.00"
"Nov 2024,0.8,1.9,2.1,4.00"
"Dec 2024,5.8,5.6,8.1,7.60"
"Jan 2025,8.1,8.5,11.4,11.40"
"Feb 2025,13.2,11.7,17.6,15.20"
"Mar 2025,17.7,16.3,22.4,20.40"
"Apr 2025,22.3,19.6,27.5,25.20"
"May 2025,21.2,22.5,30.7,30.20"
"Jun 2025,10.3,13.3,34.9,34.60"
"Jul 2025,0.0,0.0,35.7,36.40"
"Aug 2025,0.0,0.0,36.6,38.00"
"Sep 2025,0.0,0.0,37.8,41.00"
"Oct 2025,0.0,0.0,0.0,0.00"
