season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
monsoon,bellvue,ORP,0.273403034,0.448830488,-0.001263661,8.18E-04,0.039370923
snowmelt,bellvue,ORP,0.24028437,0.451149166,-0.001041555,8.70E-04,0.049033878
winter_baseflow,bellvue,ORP,0.151381014,0.467450426,-9.24E-04,0.001020787,0.086813297
fall_baseflow,bellvue,pH,7.320728531,8.816199245,-0.007741112,0.007549366,0.25960404
monsoon,bellvue,pH,7.35194581,8.65856838,-0.005152925,0.005613589,0.317355271
snowmelt,bellvue,pH,7.243153534,8.665699701,-0.005275409,0.006134626,0.37251656
winter_baseflow,bellvue,pH,7.619749908,8.645287542,-0.005336908,0.004652626,0.246527706
fall_baseflow,bellvue,Specific Conductivity,84.55944778,237.8519223,-0.180625692,0.194522583,49.90819989
monsoon,bellvue,Specific Conductivity,56.09301514,178.3950568,-0.149447702,0.156836608,29.12874257
snowmelt,bellvue,Specific Conductivity,20.12917006,128.7427292,-0.345242017,0.367445984,25.66738291
winter_baseflow,bellvue,Specific Conductivity,87.54280472,268.5642242,-0.398773346,0.350680216,40.6750431
fall_baseflow,bellvue,Temperature,1.922097654,16.97405262,-0.012357267,0.022989194,3.499332408
monsoon,bellvue,Temperature,11.26497879,19.28712215,-0.014004711,0.024889743,1.712635624
snowmelt,bellvue,Temperature,7.021756949,17.34436569,-0.009084098,0.017806265,2.253816946
winter_baseflow,bellvue,Temperature,2.271564102,14.40924763,-0.023414257,0.039651551,2.751374468
fall_baseflow,bellvue,Turbidity,3.05316052,20.56055368,-1.176456813,1.077376887,2.720989565
monsoon,bellvue,Turbidity,1.239418097,112.9425275,-2.343631755,2.18216561,9.809759065
snowmelt,bellvue,Turbidity,0.192460234,1110.257378,-85.918525,76.76828082,123.6049453
winter_baseflow,bellvue,Turbidity,1.828289461,82.14843445,-1.776350411,1.661198544,21.40096753
fall_baseflow,cbri,Chl-a Fluorescence,0.006753816,0.72655476,-0.011096982,0.011188626,0.111247512
monsoon,cbri,Chl-a Fluorescence,0.006235413,113.6188404,-4.954308893,5.580083337,12.167657
snowmelt,cbri,Chl-a Fluorescence,0.007527785,0.021100506,-3.87E-04,4.07E-04,0.002648744
fall_baseflow,cbri,Depth,0.233539902,0.571786579,-0.001375264,0.001180214,0.127959673
monsoon,cbri,Depth,0.259674201,0.576592488,-9.98E-04,0.001029073,0.06379749
snowmelt,cbri,Depth,0.406254898,0.752779512,-0.003958342,0.004245985,0.092452521
fall_baseflow,cbri,DO,7.5190378,9.9943788,-0.006046964,0.004343356,0.654786238
monsoon,cbri,DO,7.61927349,9.170335605,-0.006983667,0.005489978,0.371178387
snowmelt,cbri,DO,8.39253132,9.43184848,-0.004242989,0.0042568,0.233644045
fall_baseflow,cbri,FDOM Fluorescence,0.200936643,0.757808356,-8.74E-04,8.62E-04,0.145835819
monsoon,cbri,FDOM Fluorescence,0.336701353,0.847177568,-0.024634283,0.024106174,0.161555431
snowmelt,cbri,FDOM Fluorescence,0.420109076,3.034369592,-0.007259287,0.007636945,0.732150465
fall_baseflow,cbri,ORP,0.217620088,0.422944724,-3.93E-04,3.56E-04,0.046827378
monsoon,cbri,ORP,0.13284947,0.431805041,-5.62E-04,5.13E-04,0.06459538
snowmelt,cbri,ORP,0.118080297,0.334914871,-0.001120685,7.99E-04,0.048263151
fall_baseflow,cbri,pH,7.7275512,8.15908247,-0.004028249,0.004060245,0.093024109
monsoon,cbri,pH,7.7275512,8.15908247,-0.00791595,0.007070032,0.163927996
snowmelt,cbri,pH,7.7275512,8.15908247,-0.006195052,0.006403867,0.062784433
fall_baseflow,cbri,Specific Conductivity,46.7336216,70.7726496,-0.052493573,0.051305347,6.603755614
monsoon,cbri,Specific Conductivity,45.592365,66.02300852,-0.026080759,0.040483302,4.009979138
snowmelt,cbri,Specific Conductivity,40.8537264,66.31380825,-0.08200997,0.058865621,5.189880639
fall_baseflow,cbri,Temperature,1.048778865,9.962244725,-0.016735244,0.024170332,2.726708997
monsoon,cbri,Temperature,5.06975685,12.08761341,-0.018320957,0.028948523,1.370663131
snowmelt,cbri,Temperature,0.376774579,8.29683089,-0.019080813,0.018758718,2.077803903
fall_baseflow,cbri,Turbidity,0.637117119,5.093344707,-0.136985319,0.116001853,0.986458305
monsoon,cbri,Turbidity,0,3.713041575,-0.245475438,0.233482524,0.487861048
snowmelt,cbri,Turbidity,0.821414233,60.84283823,-3.216465879,2.929993883,9.696302338
fall_baseflow,chd,Chl-a Fluorescence,0.02113123,30.7453352,-0.672681397,0.66025372,1.551119105
monsoon,chd,Chl-a Fluorescence,0.009184125,2.389648784,-0.17913454,0.175825921,0.338644613
snowmelt,chd,Chl-a Fluorescence,0.024091289,1.512925615,-0.023122844,0.023918234,0.249123111
fall_baseflow,chd,Depth,0.076287482,0.344257808,-4.32E-04,3.90E-04,0.077501533
monsoon,chd,Depth,0.08253523,0.673728006,-0.001114442,9.10E-04,0.080093562
snowmelt,chd,Depth,0.526793743,0.94976985,-0.002336186,0.002245537,0.129416102
fall_baseflow,chd,DO,7.13991352,8.64073231,-0.007780423,0.008617848,0.37316307
monsoon,chd,DO,6.5519081,8.35108755,-0.005212479,0.006674293,0.414524507
snowmelt,chd,DO,8.08312256,9.33263527,-0.00517594,0.005819016,0.263169535
fall_baseflow,chd,FDOM Fluorescence,0.415837272,0.667624754,-6.08E-04,6.88E-04,0.07145975
monsoon,chd,FDOM Fluorescence,0.354869465,1.076447869,-0.003189121,0.004715845,0.189767765
snowmelt,chd,FDOM Fluorescence,0.716540566,1.600109187,-0.007544383,0.006145082,0.194204437
fall_baseflow,chd,ORP,0.3186758,0.515144342,-4.12E-04,3.38E-04,0.065192722
monsoon,chd,ORP,0.25433279,0.445001342,-5.76E-04,4.76E-04,0.03966579
snowmelt,chd,ORP,0.255023296,0.316568379,-5.05E-04,7.09E-04,0.010019766
fall_baseflow,chd,pH,7.2,8.5,-0.005254093,0.005740842,0.179139703
monsoon,chd,pH,7.2,8.5,-0.005964593,0.004319944,0.176794745
snowmelt,chd,pH,7.2,8.5,-0.011235632,0.00972122,0.170993485
fall_baseflow,chd,Specific Conductivity,48.3474385,52.92357532,-0.014039573,0.015274141,0.935165992
monsoon,chd,Specific Conductivity,37.4905278,50.62522064,-0.068811261,0.07228548,1.997378551
snowmelt,chd,Specific Conductivity,36.63661175,54.2849533,-0.058912889,0.058930155,6.183096249
fall_baseflow,chd,Temperature,6.57781666,11.3737021,-0.007021341,0.009658133,1.088591477
monsoon,chd,Temperature,9.1255449,15.1743802,-0.038627321,0.018071027,1.524326368
snowmelt,chd,Temperature,3.6016566,11.49538295,-0.037891179,0.031215358,1.521704754
fall_baseflow,chd,Turbidity,0.182233075,3.4101305,-0.199452534,0.188911163,0.71529166
monsoon,chd,Turbidity,0.012054424,3.74693566,-0.166562372,0.1594233,0.728694801
snowmelt,chd,Turbidity,2.663876005,20.50390415,-1.007510014,0.88467328,1.651416318
fall_baseflow,cottonwood,Depth,0.259718805,0.614255279,-4.28E-04,5.87E-04,0.079218834
monsoon,cottonwood,Depth,0.271157142,0.870198372,-6.80E-04,0.001209896,0.113109448
snowmelt,cottonwood,Depth,0.328245601,1.539684182,-0.001698664,0.002382865,0.324672396
winter_baseflow,cottonwood,Depth,0.262131706,0.728268853,-4.91E-04,9.90E-04,0.085608917
fall_baseflow,cottonwood,DO,5.999759207,14.70694976,-0.030450178,0.040510916,1.890785957
monsoon,cottonwood,DO,5.545792979,14.06476917,-0.0353862,0.040165658,1.705323759
snowmelt,cottonwood,DO,7.226966591,10.37872639,-0.013522387,0.010552462,0.527059176
winter_baseflow,cottonwood,DO,6.152314548,15.50118567,-0.038700729,0.037560576,2.151855684
fall_baseflow,cottonwood,ORP,0.24873572,0.452952887,-5.40E-04,4.10E-04,0.047126202
monsoon,cottonwood,ORP,0.139799732,0.429718397,-9.30E-04,6.47E-04,0.06492577
snowmelt,cottonwood,ORP,0.114357682,0.456347677,-0.001105509,8.99E-04,0.089311743
winter_baseflow,cottonwood,ORP,0.097054471,0.427240647,-0.001100541,8.30E-04,0.080668134
fall_baseflow,cottonwood,pH,7.835066357,8.964738884,-0.004206163,0.005294571,0.264461226
monsoon,cottonwood,pH,7.63728275,9.256821947,-0.005663264,0.00701196,0.390207983
snowmelt,cottonwood,pH,7.501529346,8.441732817,-0.003309517,0.002993265,0.177597993
winter_baseflow,cottonwood,pH,7.8121101,9.473921967,-0.006227226,0.006952362,0.393298797
fall_baseflow,cottonwood,Specific Conductivity,168.6414249,1079.384408,-1.350847371,0.749210205,266.0461145
monsoon,cottonwood,Specific Conductivity,120.9811952,970.6058616,-2.081066895,1.124062663,213.6879886
snowmelt,cottonwood,Specific Conductivity,63.68984543,738.8041748,-2.30919637,0.753400879,98.83374474
winter_baseflow,cottonwood,Specific Conductivity,147.576205,1117.686664,-1.540387787,1.061083252,269.8227134
fall_baseflow,cottonwood,Temperature,0.826472355,18.26722594,-0.008434124,0.023640567,3.937472632
monsoon,cottonwood,Temperature,13.58588457,23.77111634,-0.011577365,0.024317739,2.167031461
snowmelt,cottonwood,Temperature,7.794168797,19.33810593,-0.012351095,0.020559511,2.416746126
winter_baseflow,cottonwood,Temperature,1.611956292,17.25807238,-0.01464825,0.031516914,3.31544188
fall_baseflow,cottonwood,Turbidity,2.074488153,81.49940259,-3.652037746,2.737882282,10.7001149
monsoon,cottonwood,Turbidity,0.928768554,207.7823174,-4.92208361,5.222902028,25.12069489
snowmelt,cottonwood,Turbidity,4.900434258,222.3800528,-4.074718348,4.047514323,38.883442
winter_baseflow,cottonwood,Turbidity,1.805151677,75.18932648,-1.677669712,1.432113495,8.328696573
fall_baseflow,elc,Chl-a Fluorescence,0.01385716,0.621609515,-0.022459886,0.021766312,0.094151671
winter_baseflow,elc,Chl-a Fluorescence,0.028538444,0.338075488,-0.018385928,0.017656472,0.052646908
fall_baseflow,elc,Depth,0.273636672,0.937123751,-0.001999585,0.001078147,0.195404317
monsoon,elc,Depth,0.198813025,0.746094941,-0.002562429,0.00164864,0.123827024
snowmelt,elc,Depth,0.282837894,1.645915836,-0.004858052,0.006037862,0.310157622
winter_baseflow,elc,Depth,0.023435537,1.032689642,-0.002941553,0.003061288,0.170080129
fall_baseflow,elc,DO,5.95726146,13.0877285,-0.025553456,0.030958115,1.652632044
monsoon,elc,DO,5.083999863,12.96856588,-0.037850086,0.032814881,1.55440451
snowmelt,elc,DO,3.968596077,10.15850925,-0.048651085,0.054157654,0.856615297
winter_baseflow,elc,DO,5.009385271,12.87349085,-0.067681344,0.067673141,1.685421155
fall_baseflow,elc,FDOM Fluorescence,0.599680293,1.499191489,-0.002883392,0.003016867,0.102335398
winter_baseflow,elc,FDOM Fluorescence,0.568196719,0.844712607,-9.20E-04,5.32E-04,0.084616923
fall_baseflow,elc,ORP,0.096118013,0.382527444,-5.33E-04,6.19E-04,0.083215862
monsoon,elc,ORP,0.188882126,0.46882334,-0.001258383,9.07E-04,0.060347754
snowmelt,elc,ORP,0.198666003,0.509686011,-0.001077622,7.79E-04,0.068196851
winter_baseflow,elc,ORP,0.111235908,0.394068953,-0.001126282,8.96E-04,0.074072698
fall_baseflow,elc,pH,7.981330032,8.959588432,-0.002426623,0.002872449,0.245245381
monsoon,elc,pH,7.640209646,9.545501728,-0.006981164,0.006940157,0.423833846
snowmelt,elc,pH,4.153489265,8.578015747,-0.004521617,0.004775248,0.410292524
winter_baseflow,elc,pH,6.0622756,9.215619183,-0.00449741,0.00406045,0.365578807
fall_baseflow,elc,Specific Conductivity,271.2294263,1683.167319,-2.144738973,1.571925863,349.9631741
monsoon,elc,Specific Conductivity,143.7589883,1669.99439,-2.423860982,1.165169108,383.0754677
snowmelt,elc,Specific Conductivity,70.61429779,2427.157136,-2.774310527,1.282806844,304.7464501
winter_baseflow,elc,Specific Conductivity,167.8274236,1794.616644,-1.902367147,1.403306885,509.6366395
fall_baseflow,elc,Temperature,0.325573464,19.42778952,-0.013208232,0.027943481,4.448112391
monsoon,elc,Temperature,14.86987911,25.84647476,-0.016767721,0.03187767,2.347561769
snowmelt,elc,Temperature,7.992364311,19.8467551,-0.014029964,0.025393899,2.516373013
winter_baseflow,elc,Temperature,1.205902753,20.10249802,-0.020634429,0.044820625,3.783724071
fall_baseflow,elc,Turbidity,0.924594159,17.05421274,-0.482646062,0.440791354,3.077637953
monsoon,elc,Turbidity,0.478770683,74.43895401,-2.084912582,1.807086728,11.89493063
snowmelt,elc,Turbidity,1.743355036,292.4092072,-5.014744091,5.393764933,61.06065958
winter_baseflow,elc,Turbidity,0,20.0837464,-0.393261098,0.398775497,2.602692623
fall_baseflow,joei,Chl-a Fluorescence,0.00191972,7.418127752,-0.050704983,0.053238133,2.857229401
monsoon,joei,Chl-a Fluorescence,0.001197562,3.420265075,-0.038862463,0.03548398,0.687006102
snowmelt,joei,Chl-a Fluorescence,0.040594325,1.869611516,-0.016406848,0.016063499,0.292822649
fall_baseflow,joei,Depth,0.272620042,0.440244051,-8.59E-04,4.86E-04,0.04544577
monsoon,joei,Depth,0.292647312,0.50308237,-6.04E-04,5.08E-04,0.037571699
snowmelt,joei,Depth,0.334125817,0.728376248,-0.002326511,0.002301109,0.105219571
fall_baseflow,joei,DO,7.858222553,9.81539045,-0.00644144,0.004904133,0.457413198
monsoon,joei,DO,6.773734762,9.34863167,-0.007497361,0.004373772,0.555908098
snowmelt,joei,DO,7.99472492,10.237944,-0.006728475,0.005806347,0.607861997
fall_baseflow,joei,FDOM Fluorescence,0.182689387,0.283678594,-6.30E-04,5.45E-04,0.028494361
monsoon,joei,FDOM Fluorescence,0.17760025,0.564586725,-9.56E-04,0.001153408,0.074212897
snowmelt,joei,FDOM Fluorescence,0.432111461,1.845939306,-0.012118404,0.012689341,0.474230401
fall_baseflow,joei,ORP,0.064787268,0.29818322,-5.95E-04,4.71E-04,0.085348237
monsoon,joei,ORP,0.040683269,0.304877082,-7.56E-04,7.69E-04,0.077132412
snowmelt,joei,ORP,0.147671708,0.332719141,-7.08E-04,5.88E-04,0.038902563
fall_baseflow,joei,pH,7.2,8.5,-0.003162109,0.002650429,0.130369243
monsoon,joei,pH,7.2,8.5,-0.004340456,0.00431933,0.13623924
snowmelt,joei,pH,7.2,8.5,-0.008119524,0.007602731,0.121807688
fall_baseflow,joei,Specific Conductivity,73.6951389,86.5657359,-0.176650336,0.160796293,2.091523557
monsoon,joei,Specific Conductivity,44.97417422,78.2961565,-0.099267467,0.0811628,7.797167927
snowmelt,joei,Specific Conductivity,26.70003932,62.55490814,-0.142441629,0.123164815,9.646173561
fall_baseflow,joei,Temperature,1.14212668,10.53182626,-0.018740805,0.028225436,2.12755547
monsoon,joei,Temperature,2.74622342,15.71137484,-0.021227067,0.040059888,2.851481262
snowmelt,joei,Temperature,0.033476561,9.9211715,-0.028140439,0.0314851,2.498588555
fall_baseflow,joei,Turbidity,0,3.890907502,-0.272051242,0.164140471,0.488892186
monsoon,joei,Turbidity,0,8.712410025,-0.222800073,0.256551977,1.609394714
snowmelt,joei,Turbidity,4.348050016,66.0031679,-1.2018542,1.566931873,9.546703027
fall_baseflow,pbd,Chl-a Fluorescence,0.006680771,2.345248594,-0.065680692,0.066472243,0.259287694
monsoon,pbd,Chl-a Fluorescence,0.009104043,0.037465469,-4.77E-04,4.68E-04,0.006623255
snowmelt,pbd,Chl-a Fluorescence,0.009907331,2.961048961,-0.122121025,0.118764732,0.396360085
winter_baseflow,pbd,Chl-a Fluorescence,0.012184324,0.41743129,-0.015203458,0.012726128,0.050814283
fall_baseflow,pbd,Depth,0.198332831,0.291527854,-2.80E-04,3.53E-04,0.021271095
monsoon,pbd,Depth,0.200994154,0.703381863,-3.77E-04,5.07E-04,0.121360861
snowmelt,pbd,Depth,0.474853348,1.11612941,-0.001408064,0.001382356,0.150194452
winter_baseflow,pbd,Depth,0.288950207,0.610695017,-4.15E-04,5.44E-04,0.090889325
fall_baseflow,pbd,DO,7.613377476,11.94967896,-0.008045146,0.00792995,1.053675533
monsoon,pbd,DO,6.71095285,9.628931713,-0.011347783,0.008150024,0.50116377
snowmelt,pbd,DO,7.8,11.25,-0.003666864,0.002719689,0.500075382
winter_baseflow,pbd,DO,8.678755493,11.39368534,-0.006715703,0.003468239,0.676479066
fall_baseflow,pbd,FDOM Fluorescence,0.219815868,0.686689469,-7.89E-04,7.89E-04,0.142202537
monsoon,pbd,FDOM Fluorescence,0.355293044,0.994255262,-0.003852303,0.003345982,0.114868932
snowmelt,pbd,FDOM Fluorescence,0.676459709,2.037995071,-0.039873138,0.038545517,0.351062646
winter_baseflow,pbd,FDOM Fluorescence,0.905237384,1.704943757,-0.009826778,0.007597783,0.220541331
fall_baseflow,pbd,ORP,0.285684235,0.471143558,-4.53E-04,4.04E-04,0.043892461
monsoon,pbd,ORP,0.248059476,0.483406738,-7.81E-04,6.67E-04,0.052932532
snowmelt,pbd,ORP,0.255695343,0.364672577,-0.001218275,8.57E-04,0.023732652
winter_baseflow,pbd,ORP,0.073987389,0.332224854,-0.001118037,0.001138693,0.085614237
fall_baseflow,pbd,pH,7.2,8.8,-0.003050244,0.002877292,0.172366157
monsoon,pbd,pH,7.2,8.8,-0.005400823,0.004726782,0.279067226
snowmelt,pbd,pH,7.2,8.8,-0.006790691,0.006570797,0.191837313
winter_baseflow,pbd,pH,7.2,8.8,-0.003946958,0.004513453,0.118439042
fall_baseflow,pbd,Specific Conductivity,50,159.5162125,-0.286357717,0.269272644,19.08074837
monsoon,pbd,Specific Conductivity,30,144.4223152,-0.105571333,0.09399138,18.98536142
snowmelt,pbd,Specific Conductivity,30,117.4619896,-0.092306152,0.112334981,24.12384444
winter_baseflow,pbd,Specific Conductivity,30,112.5724588,-0.073448807,0.085261988,10.97763322
fall_baseflow,pbd,Temperature,0.918628159,16.43318895,-0.017152405,0.02761982,4.06911592
monsoon,pbd,Temperature,12.55447595,22.4832235,-0.012614531,0.026826071,1.98503436
snowmelt,pbd,Temperature,5.830989003,16.67645544,-0.010031452,0.016884706,2.504636747
winter_baseflow,pbd,Temperature,2.388107805,11.92282928,-0.011224108,0.02961991,2.541604468
fall_baseflow,pbd,Turbidity,0.546507354,10.51314091,-0.265684572,0.272739926,2.036446136
monsoon,pbd,Turbidity,0.452701043,158.334425,-2.25835248,1.947426267,15.36246666
snowmelt,pbd,Turbidity,4,158.334425,-48.36139568,56.49682507,40.13645916
winter_baseflow,pbd,Turbidity,5,70,-0.741995026,1.433321114,14.023643
fall_baseflow,pfal,Chl-a Fluorescence,0.001582327,0.008968496,-3.54E-04,3.96E-04,0.001515112
monsoon,pfal,Chl-a Fluorescence,0.004558913,0.036918839,-5.61E-04,5.54E-04,0.006489403
snowmelt,pfal,Chl-a Fluorescence,0.014282276,0.592556863,-0.026019719,0.021863736,0.054776066
fall_baseflow,pfal,Depth,0.137699272,0.151781198,-3.13E-04,3.25E-04,0.002906065
monsoon,pfal,Depth,0.135839748,0.950927438,-0.001650394,0.001753669,0.18863443
snowmelt,pfal,Depth,0.160191944,1.763133808,-0.003835042,0.003997757,0.428990619
fall_baseflow,pfal,DO,6.39982898,9.59401265,-0.040276347,0.007458743,0.800787431
monsoon,pfal,DO,7.333587921,9.08826408,-0.005210093,0.003580543,0.35870409
snowmelt,pfal,DO,8.358221,10.9395038,-0.006308981,0.004563298,0.667218633
fall_baseflow,pfal,FDOM Fluorescence,2.54E-04,0.006333784,-2.51E-04,2.11E-04,0.001655312
monsoon,pfal,FDOM Fluorescence,0.424992085,1.08897034,-0.001057116,0.001142208,0.096744669
snowmelt,pfal,FDOM Fluorescence,0.94811866,3.115695636,-0.010151625,0.006398987,0.613218707
fall_baseflow,pfal,ORP,-0.417870143,1.3274757,-0.056384308,0.061785176,0.354378473
monsoon,pfal,ORP,0.186739906,0.636048984,-0.004717115,0.004737052,0.048211214
snowmelt,pfal,ORP,0.103648997,0.334324766,-0.001157192,8.26E-04,0.053004129
fall_baseflow,pfal,pH,7,9,-0.729800881,0.813680385,3.965838333
monsoon,pfal,pH,7,9,-0.11894429,0.114844605,0.165444346
snowmelt,pfal,pH,7,9,-0.010955042,0.010775911,0.233997983
monsoon,pfal,Specific Conductivity,34.3730426,52.0447839,-0.043733195,0.041108734,4.372390998
snowmelt,pfal,Specific Conductivity,27.63355095,60.87693088,-0.235960313,0.221268931,8.885297792
fall_baseflow,pfal,Temperature,4.884682123,23.14691199,-0.055406803,0.224314097,4.682275925
monsoon,pfal,Temperature,8.5500942,16.4927324,-0.018420657,0.038629016,1.82058085
snowmelt,pfal,Temperature,0.281973923,12.2915072,-0.014219801,0.023347092,3.082423052
fall_baseflow,pfal,Turbidity,2.34427895,3.70465201,-0.008360475,0.013127782,0.345438193
monsoon,pfal,Turbidity,2.808789788,6.82249647,-0.226082963,0.22721065,0.627438617
snowmelt,pfal,Turbidity,0.314943722,29.13380606,-0.666971049,0.626984057,4.172953041
fall_baseflow,riverbend,Depth,0.419301889,1.043862169,-0.001089127,0.001255917,0.103081828
monsoon,riverbend,Depth,0.498168089,1.201603814,-0.001098522,0.001812584,0.128913827
snowmelt,riverbend,Depth,0.553556919,1.945514927,-0.002521705,0.003295124,0.310896466
winter_baseflow,riverbend,Depth,0.583668362,1.29205237,-0.001135143,0.001417988,0.146809187
fall_baseflow,riverbend,DO,6.579707885,12.44040942,-0.029952208,0.030673427,1.301152396
monsoon,riverbend,DO,5.718757272,12.31190903,-0.02955286,0.028738809,1.285322082
snowmelt,riverbend,DO,7.112977219,10.17683399,-0.02164759,0.022286398,0.583138485
winter_baseflow,riverbend,DO,6.385530577,13.68065857,-0.034002982,0.030680386,1.633035938
fall_baseflow,riverbend,ORP,0.283822,0.432288288,-4.90E-04,3.95E-04,0.032114682
monsoon,riverbend,ORP,0.235216983,0.466584359,-7.35E-04,6.65E-04,0.052912054
snowmelt,riverbend,ORP,0.303780063,0.476476703,-0.001006794,6.58E-04,0.037984173
winter_baseflow,riverbend,ORP,0.14216328,0.43698835,-8.86E-04,7.93E-04,0.068648111
fall_baseflow,riverbend,pH,7.675717497,8.719106941,-0.003554318,0.003863642,0.223390191
monsoon,riverbend,pH,7.471710014,9.056319061,-0.005564782,0.00514301,0.357305201
snowmelt,riverbend,pH,7.311958485,8.359096546,-0.005395298,0.005676208,0.203422028
winter_baseflow,riverbend,pH,7.606879053,9.011395283,-0.005850436,0.006344487,0.355559318
fall_baseflow,riverbend,Specific Conductivity,159.8324934,1081.192412,-1.327328491,0.917253337,266.1913157
monsoon,riverbend,Specific Conductivity,120.6506799,1180.036256,-2.254445862,0.86483134,264.5425612
snowmelt,riverbend,Specific Conductivity,62.16018204,773.0805981,-2.992452698,1.042850016,115.5645619
winter_baseflow,riverbend,Specific Conductivity,137.4942981,938.2220203,-1.49039327,0.843305562,213.4115573
fall_baseflow,riverbend,Temperature,1.768625804,17.80899137,-0.008966967,0.020109505,3.687947502
monsoon,riverbend,Temperature,13.21748467,23.51224768,-0.011801005,0.02263483,2.188903066
snowmelt,riverbend,Temperature,7.646322231,19.05543034,-0.01187135,0.020701285,2.386172974
winter_baseflow,riverbend,Temperature,1.747169137,16.10516357,-0.011617991,0.022244644,3.307021769
fall_baseflow,riverbend,Turbidity,2.01094247,24.472789,-0.798826844,0.8252136,3.591551459
monsoon,riverbend,Turbidity,1.407495513,184.7836548,-4.570589441,5.769313073,18.87224842
snowmelt,riverbend,Turbidity,3.726781309,1044.723297,-38.93862777,46.217632,120.1433843
winter_baseflow,riverbend,Turbidity,1.988673759,1228.458525,-61.36080522,52.65559607,164.4064355
fall_baseflow,riverbluffs,Chl-a Fluorescence,0.5216874,19.3941531,-0.370545241,0.433408352,4.806220548
monsoon,riverbluffs,Chl-a Fluorescence,0.03424541,2.4741956,-0.093733307,0.092257449,0.527223486
snowmelt,riverbluffs,Chl-a Fluorescence,0.028510508,18.07790962,-0.456456705,0.437794879,2.789356775
winter_baseflow,riverbluffs,Chl-a Fluorescence,0.213380154,31.20205244,-1.069009104,0.788980247,5.765062589
fall_baseflow,riverbluffs,Depth,0.110710962,0.810630523,-0.001245414,9.50E-04,0.131575117
monsoon,riverbluffs,Depth,0.317412178,0.97887838,-0.00133508,0.001561063,0.08768294
